Offence,Act,Class 
Uniform of proscribed organisations ,Terrorism Act 2000 s.13 ,B 
Unlawful collection of information for terrorist purposes ,Terrorism Act 2000 s.58 ,B 
Unlawful eviction and harassment of occupier ,Protection from Eviction Act 1977 s.1 ,H 
Unlawful wounding ,Offences against the Person Act 1861 s.20 ,C 
Use of firearm to resist arrest ,Firearms Act 1968 s.17 ,B 
Using a copy of a false instrument ,Forgery and Counterfeiting Act 1981 s.4 ,F
Using a copy of a false instrument ,Forgery and Counterfeiting Act 1981 s.4 ,G
Using a copy of a false instrument ,Forgery and Counterfeiting Act 1981 s.4 ,K
Using a false instrument ,Forgery and Counterfeiting Act 1981 s.3 ,F
Using a false instrument ,Forgery and Counterfeiting Act 1981 s.3 ,G
Using a false instrument ,Forgery and Counterfeiting Act 1981 s.3 ,K
Using explosive or corrosives with intent to cause grievous bodily harm ,Offences against the Person Act 1861 s.29 ,B 
VAT offences ,Value Added Tax Act 1994 s. 72(1-8) ,F
VAT offences ,Value Added Tax Act 1994 s. 72(1-8) ,G
VAT offences ,Value Added Tax Act 1994 s. 72(1-8) ,K
Violent disorder ,Public Order Act 1986 s.2 ,B 
Voyeurism ,Sexual Offences Act 2003 s. 67 ,D 
Wanton or furious driving ,Offences against the Person Act 1861 s.35 ,H 
Weapons training ,Terrorism Act 2000 s.54 ,B 
Woman exercising control over prostitute ,Sexual Offences Act 1956 s.31 ,D 
Wounding or grievous bodily harm with intent to cause grievous bodily harm etc. ,Offences against the Person Act 1861 s.18 ,B
