Category,Band,Offence,Contrary to,Year and Chapter
6,6.1,"Arrangements - concerned in arrangement, knows or suspects, facilitates acquisition, retention, use or control of criminal property by, or on behalf of another person","Proceeds of Crime Act 2002, s.328",2002 c. 29
6,6.1,"Acquisition, use, and possession of criminal property.","Proceeds of Crime Act 2002, s.329",2002 c. 29
6,6.1,Nominated officer; must not give consent to the doing of a prohibited act,"Proceeds of Crime Act 2002, s.336(5)",2002 c. 29
6,6.1,Dishonest representation for obtaining benefit etc.,"Social Security Administration Act 1992, s.111A",1992 c. 5
6,6.1,"Fraudulently printing, mutilating or re-issuing stamps etc.","Stamp Duties Management Act 1891, s.13 ",1891 c. 38
6,6.1,Fraudulent use of telecommunication system,"Telecommunications Act 1984, s.42(1)",1984 c. 12
6,6.1,Theft,"Theft Act 1968, s.1",1968 c. 60
6,6.1,False Accounting,"Theft Act 1968, s.17",1968 c. 60
6,6.1,Handling stolen goods,"Theft Act 1968, s.22",1968 c. 60
6,6.1,Dishonestly retaining a wrongful credit,"Theft Act 1968, s.24A",1968 c. 60
6,6.1,Subject of debt relief order fraudulently dispose of property,"Tribunals, Courts and Enforcement Act 2007, Schedule 17, Part 7A, Paragraph 251Q",2007 c. 15
6,6.1,Subject of debt relief order dispose of property not paid for by them or obtain property in respect of which money is owed.,"Tribunals, Courts and Enforcement Act 2007, Schedule 17, Part 7A, Paragraph 251R.",2007 c. 15
6,6.1,VAT Offences,"Value Added Tax Act 1994, s.72",1994 c. 23
6,6.2,Cheating the public revenue,Common Law,
6,6.2,Conspiracy to defraud,Common Law,
6,6.2,Dishonestly obtaining electronic communication services,"Communications Act 2003, s.125",2003 c. 21
6,6.2,Offence of fraudulent trading,"Companies Act 2006, s.993",2006 c. 46
6,6.2,Insider Dealing,"Criminal Justice Act 1993, s.52",1993 c. 36
6,6.2,Fraudulent evasion of duty,"Customs and Excise Management Act 1979, s.170(1)(b)",1979 c. 2
6,6.2,Fraudulently obtaining credit,"Debtors Act 1869, s.13",1969 c. 62
6,6.2,Cartel Offence,"Enterprise Act 2002, s.188",2002 c. 40
6,6.2,"Non-compliance, false, misleading or reckless statements","Enterprise Act 2002, s.201",2002 c. 40
6,6.2,Fraudulent evasion of tax,"Finance Act 2003, s.95",2003 c. 14
6,6.2,Falsification of documents,"Finance Act 2003, Schedule 13, Part 8",2003 c. 14
6,6.2,Acknowledging bail in false name,"Forgery Act 1861, s.34",1861 c. 98
6,6.2,"Destroying, injuring, forging or falsifying registers of births, baptisms, marriages, deaths or burials or certified copies","Forgery Act 1861, s.36",1861 c. 98
6,6.2,"Making false entries in copies of registers of baptisms, marriages, or burials, directed to be sent to any registrar, or destroying or concealing copies of registers","Forgery Act 1861, s.37",1861 c. 98
6,6.2,Forgery,"Forgery and Counterfeiting Act 1981, s.1",1981 c. 45
6,6.2,Copying a false instrument,"Forgery and Counterfeiting Act 1981, s.2",1981 c. 45
6,6.2,Use or copy of a false instrument,"Forgery and Counterfeiting Act 1981, s.3, s.4",1981 c. 45
6,6.2,Possess false instrument or materials to make false instrument,"Forgery and Counterfeiting Act 1981, s.5",1981 c. 45
6,6.2,Counterfeiting notes and coins,"Forgery and Counterfeiting Act 1981, s.14",1981 c. 45
6,6.2,Passing etc counterfeit notes and coins,"Forgery and Counterfeiting Act 1981, s.15",1981 c. 45
6,6.2,Custody or control of counterfeit notes and coins,"Forgery and Counterfeiting Act 1981, s.16",1981 c. 45
6,6.2,Making or custody or control of counterfeiting materials and implements,"Forgery and Counterfeiting Act 1981, s.17",1981 c. 45
6,6.2,Reproducing or making etc of British notes and coins,"Forgery and Counterfeiting Act 1981, s.18, s.19",1981 c. 45
6,6.2,Fraud by false representation,"Fraud Act 2006, s.2",2006 c. 35
6,6.2,Fraud by failing to disclose information,"Fraud Act 2006, s.3 ",2006 c. 35
6,6.2,Fraud by abuse of position ,"Fraud Act 2006, s.4",2006 c. 35
6,6.2,Possession etc of articles for use in frauds,"Fraud Act 2006,  s.6",2006 c.35
6,6.2,Making or supplying articles for use in frauds ,"Fraud Act 2006, s.7",2006 c. 35
6,6.2,Participating in fraudulent business carried on by sole trader etc,"Fraud Act 2006, s.9",2006 c. 35
6,6.2,Obtaining services dishonestly,"Fraud Act 2006, s.11",2006 c. 35
6,6.2,"Breach of requirements, lack of qualification, falsification etc.","Gun Barrel Proof Act 1868, s.30, s.122, s.141",1868 c. cxiii
6,6.2,Counterfeiting etc. of dies or marks,"Hallmarking Act 1973, s.6",1973 c. 43
6,6.2,"Fraud, etc in anticipation of winding up","Insolvency Act 1986, s.206(1)",1986 c. 45
6,6.2,"Privity to fraud in anticipation of winding up; fraud, or privity to fraud, after commencement of winding up","Insolvency Act 1986, s.206(2)",1986 c. 45
6,6.2,Transactions in fraud of creditors,"Insolvency Act 1986, s.207",1986 c. 45
6,6.2,Misconduct in course of winding up,"Insolvency Act 1986, s.208",1986 c. 45
6,6.2,Falsification of company’s books,"Insolvency Act 1986, s.209",1986 c. 45
6,6.2,Bankrupt failing to disclose property or disposals to official receiver or trustee,"Insolvency Act 1986, s.353(1)",1986 c. 45
6,6.2,"Bankrupt failing to deliver property to, or concealing property from, official receiver or trustee","Insolvency Act 1986, s.354(1)",1986 c. 45
6,6.2,Bankrupt removing property which he is required to deliver to official receiver or trustee,"Insolvency Act 1986, s.354(2)",1986 c. 45
6,6.2,Bankrupt failing to account for loss of substantial part of property,"Insolvency Act 1986, s.354(3)",1986 c. 45
6,6.2,"Bankrupt failing to deliver books, papers or records to official receiver or trustee","Insolvency Act 1986, s.355(1)",1986 c. 45
6,6.2,"Bankrupt concealing destroying etc. books, papers or records or making  false entries in them","Insolvency Act 1986, s.355(2)",1986 c. 45
6,6.2,"Bankrupt disposing of, or altering, books, papers or records relating to his estate or affairs","Insolvency Act 1986, s.355(3)",1986 c. 45
6,6.2,Bankrupt making material omission in statement relating to his affairs,"Insolvency Act 1986, s.356(1)",1986 c. 45
6,6.2,"Bankrupt making false statement, or failing to inform trustee, where false debt proved","Insolvency Act 1986, s.356(2)",1986 c. 45
6,6.2,Bankrupt fraudulently disposing of property,"Insolvency Act 1986, s.357",1986 c. 45
6,6.2,Bankrupt absconding with property he is required to deliver to official receiver or trustee,"Insolvency Act 1986, s.358",1986 c. 45
6,6.2,Fraudulent dealing with property obtained on credit,"Insolvency Act 1986, s.359",1986 c. 45
6,6.2,Bankrupt disposing of property obtained on credit and not paid for,"Insolvency Act 1986, s.359(1)",1986 c. 45
6,6.2,Bankrupt obtaining credit or engaging in business without disclosing his status or name in which he was made bankrupt,"Insolvency Act 1986, s.360(1)",1986 c. 45
6,6.2,Person made bankrupt in Scotland or Northern Ireland obtaining credit etc. in England and Wales,"Insolvency Act 1986, Sec.360(3)",1986 c. 45
6,6.2,Frauds in connection with sale of land etc,"Law of Property Act 1925, s.183",1925 c. 20
6,6.2,Providing false or misleading information for allowance claims,"Parliamentary Standads Act 2009, s.10",2009 c. 13
6,6.2,Concealing etc. criminal property,"Proceeds of Crime Act 2002, s.327",2002 c. 29
6,6.2,"Arrangements - concerned in arrangement, knows or suspects, facilitates acquisition, retention, use or control of criminal property by, or on behalf of another person","Proceeds of Crime Act 2002, s.328",2002 c. 29
6,6.2,"Acquisition, use, and possession of criminal property.","Proceeds of Crime Act 2002, s.329",2002 c. 29
6,6.2,Nominated officer; must not give consent to the doing of a prohibited act,"Proceeds of Crime Act 2002, s.336(5)",2002 c. 29
6,6.2,Dishonest representation for obtaining benefit etc.,"Social Security Administration Act 1992, s.111A",1992 c. 5
6,6.2,"Fraudulently printing, mutilating or re-issuing stamps etc.","Stamp Duties Management Act 1891, s.13 ",1891 c. 38
6,6.2,Fraudulent use of telecommunication system,"Telecommunications Act 1984, s.42(1)",1984 c. 12
6,6.2,Theft,"Theft Act 1968, s.1",1968 c. 60
6,6.2,False Accounting,"Theft Act 1968, s.17",1968 c. 60
6,6.2,Handling stolen goods,"Theft Act 1968, s.22",1968 c. 60
6,6.2,Dishonestly retaining a wrongful credit,"Theft Act 1968, s.24A",1968 c. 60
6,6.2,Subject of debt relief order fraudulently dispose of property,"Tribunals, Courts and Enforcement Act 2007, Schedule 17, Part 7A, Paragraph 251Q",2007 c. 15
6,6.2,Subject of debt relief order dispose of property not paid for by them or obtain property in respect of which money is owed.,"Tribunals, Courts and Enforcement Act 2007, Schedule 17, Part 7A, Paragraph 251R.",2007 c. 15
6,6.2,VAT Offences,"Value Added Tax Act 1994, s.72",1994 c. 23
6,6.3,Cheating the public revenue,Common Law,
6,6.3,Conspiracy to defraud,Common Law,
6,6.3,Dishonestly obtaining electronic communication services,"Communications Act 2003, s.125",2003 c. 21
6,6.3,Offence of fraudulent trading,"Companies Act 2006, s.993",2006 c. 46
6,6.3,Insider Dealing,"Criminal Justice Act 1993, s.52",1993 c. 36
6,6.3,Fraudulent evasion of duty,"Customs and Excise Management Act 1979, s.170(1)(b)",1979 c. 2
6,6.3,Fraudulently obtaining credit,"Debtors Act 1869, s.13",1969 c. 62
6,6.3,Cartel Offence,"Enterprise Act 2002, s.188",2002 c. 40
6,6.3,"Non-compliance, false, misleading or reckless statements","Enterprise Act 2002, s.201",2002 c. 40
6,6.3,Fraudulent evasion of tax,"Finance Act 2003, s.95",2003 c. 14
6,6.3,Falsification of documents,"Finance Act 2003, Schedule 13, Part 8",2003 c. 14
6,6.3,Acknowledging bail in false name,"Forgery Act 1861, s.34",1861 c. 98
6,6.3,"Destroying, injuring, forging or falsifying registers of births, baptisms, marriages, deaths or burials or certified copies","Forgery Act 1861, s.36",1861 c. 98
6,6.3,"Making false entries in copies of registers of baptisms, marriages, or burials, directed to be sent to any registrar, or destroying or concealing copies of registers","Forgery Act 1861, s.37",1861 c. 98
6,6.3,Forgery,"Forgery and Counterfeiting Act 1981, s.1",1981 c. 45
6,6.3,Copying a false instrument,"Forgery and Counterfeiting Act 1981, s.2",1981 c. 45
6,6.3,Use or copy of a false instrument,"Forgery and Counterfeiting Act 1981, s.3, s.4",1981 c. 45
6,6.3,Possess false instrument or materials to make false instrument,"Forgery and Counterfeiting Act 1981, s.5",1981 c. 45
6,6.3,Counterfeiting notes and coins,"Forgery and Counterfeiting Act 1981, s.14",1981 c. 45
6,6.3,Passing etc counterfeit notes and coins,"Forgery and Counterfeiting Act 1981, s.15",1981 c. 45
6,6.3,Custody or control of counterfeit notes and coins,"Forgery and Counterfeiting Act 1981, s.16",1981 c. 45
6,6.3,Making or custody or control of counterfeiting materials and implements,"Forgery and Counterfeiting Act 1981, s.17",1981 c. 45
6,6.3,Reproducing or making etc of British notes and coins,"Forgery and Counterfeiting Act 1981, s.18, s.19",1981 c. 45
6,6.3,Fraud by false representation,"Fraud Act 2006, s.2",2006 c. 35
6,6.3,Fraud by failing to disclose information,"Fraud Act 2006, s.3 ",2006 c. 35
6,6.3,Fraud by abuse of position ,"Fraud Act 2006, s.4",2006 c. 35
6,6.3,Possession etc of articles for use in frauds,"Fraud Act 2006,  s.6",2006 c.35
6,6.3,Making or supplying articles for use in frauds ,"Fraud Act 2006, s.7",2006 c. 35
6,6.3,Participating in fraudulent business carried on by sole trader etc,"Fraud Act 2006, s.9",2006 c. 35
6,6.3,Obtaining services dishonestly,"Fraud Act 2006, s.11",2006 c. 35
6,6.3,"Breach of requirements, lack of qualification, falsification etc.","Gun Barrel Proof Act 1868, s.30, s.122, s.141",1868 c. cxiii
6,6.3,Counterfeiting etc. of dies or marks,"Hallmarking Act 1973, s.6",1973 c. 43
6,6.3,"Fraud, etc in anticipation of winding up","Insolvency Act 1986, s.206(1)",1986 c. 45
6,6.3,"Privity to fraud in anticipation of winding up; fraud, or privity to fraud, after commencement of winding up","Insolvency Act 1986, s.206(2)",1986 c. 45
6,6.3,Transactions in fraud of creditors,"Insolvency Act 1986, s.207",1986 c. 45
6,6.3,Misconduct in course of winding up,"Insolvency Act 1986, s.208",1986 c. 45
6,6.3,Falsification of company’s books,"Insolvency Act 1986, s.209",1986 c. 45
6,6.3,Bankrupt failing to disclose property or disposals to official receiver or trustee,"Insolvency Act 1986, s.353(1)",1986 c. 45
6,6.3,"Bankrupt failing to deliver property to, or concealing property from, official receiver or trustee","Insolvency Act 1986, s.354(1)",1986 c. 45
6,6.3,Bankrupt removing property which he is required to deliver to official receiver or trustee,"Insolvency Act 1986, s.354(2)",1986 c. 45
6,6.3,Bankrupt failing to account for loss of substantial part of property,"Insolvency Act 1986, s.354(3)",1986 c. 45
6,6.3,"Bankrupt failing to deliver books, papers or records to official receiver or trustee","Insolvency Act 1986, s.355(1)",1986 c. 45
6,6.3,"Bankrupt concealing destroying etc. books, papers or records or making  false entries in them","Insolvency Act 1986, s.355(2)",1986 c. 45
6,6.3,"Bankrupt disposing of, or altering, books, papers or records relating to his estate or affairs","Insolvency Act 1986, s.355(3)",1986 c. 45
6,6.3,Bankrupt making material omission in statement relating to his affairs,"Insolvency Act 1986, s.356(1)",1986 c. 45
6,6.3,"Bankrupt making false statement, or failing to inform trustee, where false debt proved","Insolvency Act 1986, s.356(2)",1986 c. 45
6,6.3,Bankrupt fraudulently disposing of property,"Insolvency Act 1986, s.357",1986 c. 45
6,6.3,Bankrupt absconding with property he is required to deliver to official receiver or trustee,"Insolvency Act 1986, s.358",1986 c. 45
6,6.3,Fraudulent dealing with property obtained on credit,"Insolvency Act 1986, s.359",1986 c. 45
6,6.3,Bankrupt disposing of property obtained on credit and not paid for,"Insolvency Act 1986, s.359(1)",1986 c. 45
6,6.3,Bankrupt obtaining credit or engaging in business without disclosing his status or name in which he was made bankrupt,"Insolvency Act 1986, s.360(1)",1986 c. 45
6,6.3,Person made bankrupt in Scotland or Northern Ireland obtaining credit etc. in England and Wales,"Insolvency Act 1986, Sec.360(3)",1986 c. 45
6,6.3,Frauds in connection with sale of land etc,"Law of Property Act 1925, s.183",1925 c. 20
6,6.3,Providing false or misleading information for allowance claims,"Parliamentary Standads Act 2009, s.10",2009 c. 13
6,6.3,Concealing etc. criminal property,"Proceeds of Crime Act 2002, s.327",2002 c. 29
6,6.3,"Arrangements - concerned in arrangement, knows or suspects, facilitates acquisition, retention, use or control of criminal property by, or on behalf of another person","Proceeds of Crime Act 2002, s.328",2002 c. 29
6,6.3,"Acquisition, use, and possession of criminal property.","Proceeds of Crime Act 2002, s.329",2002 c. 29
6,6.3,Nominated officer; must not give consent to the doing of a prohibited act,"Proceeds of Crime Act 2002, s.336(5)",2002 c. 29
6,6.3,Dishonest representation for obtaining benefit etc.,"Social Security Administration Act 1992, s.111A",1992 c. 5
6,6.3,"Fraudulently printing, mutilating or re-issuing stamps etc.","Stamp Duties Management Act 1891, s.13 ",1891 c. 38
6,6.3,Fraudulent use of telecommunication system,"Telecommunications Act 1984, s.42(1)",1984 c. 12
6,6.3,Theft,"Theft Act 1968, s.1",1968 c. 60
6,6.3,False Accounting,"Theft Act 1968, s.17",1968 c. 60
6,6.3,Handling stolen goods,"Theft Act 1968, s.22",1968 c. 60
6,6.3,Dishonestly retaining a wrongful credit,"Theft Act 1968, s.24A",1968 c. 60
6,6.3,Subject of debt relief order fraudulently dispose of property,"Tribunals, Courts and Enforcement Act 2007, Schedule 17, Part 7A, Paragraph 251Q",2007 c. 15
6,6.3,Subject of debt relief order dispose of property not paid for by them or obtain property in respect of which money is owed.,"Tribunals, Courts and Enforcement Act 2007, Schedule 17, Part 7A, Paragraph 251R.",2007 c. 15
6,6.3,VAT Offences,"Value Added Tax Act 1994, s.72",1994 c. 23
6,6.4,Cheating the public revenue,Common Law,
6,6.4,Conspiracy to defraud,Common Law,
6,6.4,Dishonestly obtaining electronic communication services,"Communications Act 2003, s.125",2003 c. 21
6,6.4,Offence of fraudulent trading,"Companies Act 2006, s.993",2006 c. 46
6,6.4,Insider Dealing,"Criminal Justice Act 1993, s.52",1993 c. 36
6,6.4,Fraudulent evasion of duty,"Customs and Excise Management Act 1979, s.170(1)(b)",1979 c. 2
6,6.4,Fraudulently obtaining credit,"Debtors Act 1869, s.13",1969 c. 62
6,6.4,Cartel Offence,"Enterprise Act 2002, s.188",2002 c. 40
6,6.4,"Non-compliance, false, misleading or reckless statements","Enterprise Act 2002, s.201",2002 c. 40
6,6.4,Fraudulent evasion of tax,"Finance Act 2003, s.95",2003 c. 14
6,6.4,Falsification of documents,"Finance Act 2003, Schedule 13, Part 8",2003 c. 14
6,6.4,Acknowledging bail in false name,"Forgery Act 1861, s.34",1861 c. 98
6,6.4,"Destroying, injuring, forging or falsifying registers of births, baptisms, marriages, deaths or burials or certified copies","Forgery Act 1861, s.36",1861 c. 98
6,6.4,"Making false entries in copies of registers of baptisms, marriages, or burials, directed to be sent to any registrar, or destroying or concealing copies of registers","Forgery Act 1861, s.37",1861 c. 98
6,6.4,Forgery,"Forgery and Counterfeiting Act 1981, s.1",1981 c. 45
6,6.4,Copying a false instrument,"Forgery and Counterfeiting Act 1981, s.2",1981 c. 45
6,6.4,Use or copy of a false instrument,"Forgery and Counterfeiting Act 1981, s.3, s.4",1981 c. 45
6,6.4,Possess false instrument or materials to make false instrument,"Forgery and Counterfeiting Act 1981, s.5",1981 c. 45
6,6.4,Counterfeiting notes and coins,"Forgery and Counterfeiting Act 1981, s.14",1981 c. 45
6,6.4,Passing etc counterfeit notes and coins,"Forgery and Counterfeiting Act 1981, s.15",1981 c. 45
6,6.4,Custody or control of counterfeit notes and coins,"Forgery and Counterfeiting Act 1981, s.16",1981 c. 45
6,6.4,Making or custody or control of counterfeiting materials and implements,"Forgery and Counterfeiting Act 1981, s.17",1981 c. 45
6,6.4,Reproducing or making etc of British notes and coins,"Forgery and Counterfeiting Act 1981, s.18, s.19",1981 c. 45
6,6.4,Fraud by false representation,"Fraud Act 2006, s.2",2006 c. 35
6,6.4,Fraud by failing to disclose information,"Fraud Act 2006, s.3 ",2006 c. 35
6,6.4,Fraud by abuse of position ,"Fraud Act 2006, s.4",2006 c. 35
6,6.4,Possession etc of articles for use in frauds,"Fraud Act 2006,  s.6",2006 c.35
6,6.4,Making or supplying articles for use in frauds ,"Fraud Act 2006, s.7",2006 c. 35
6,6.4,Participating in fraudulent business carried on by sole trader etc,"Fraud Act 2006, s.9",2006 c. 35
6,6.4,Obtaining services dishonestly,"Fraud Act 2006, s.11",2006 c. 35
6,6.4,"Breach of requirements, lack of qualification, falsification etc.","Gun Barrel Proof Act 1868, s.30, s.122, s.141",1868 c. cxiii
6,6.4,Counterfeiting etc. of dies or marks,"Hallmarking Act 1973, s.6",1973 c. 43
6,6.4,"Fraud, etc in anticipation of winding up","Insolvency Act 1986, s.206(1)",1986 c. 45
6,6.4,"Privity to fraud in anticipation of winding up; fraud, or privity to fraud, after commencement of winding up","Insolvency Act 1986, s.206(2)",1986 c. 45
6,6.4,Transactions in fraud of creditors,"Insolvency Act 1986, s.207",1986 c. 45
6,6.4,Misconduct in course of winding up,"Insolvency Act 1986, s.208",1986 c. 45
6,6.4,Falsification of company’s books,"Insolvency Act 1986, s.209",1986 c. 45
6,6.4,Bankrupt failing to disclose property or disposals to official receiver or trustee,"Insolvency Act 1986, s.353(1)",1986 c. 45
6,6.4,"Bankrupt failing to deliver property to, or concealing property from, official receiver or trustee","Insolvency Act 1986, s.354(1)",1986 c. 45
6,6.4,Bankrupt removing property which he is required to deliver to official receiver or trustee,"Insolvency Act 1986, s.354(2)",1986 c. 45
6,6.4,Bankrupt failing to account for loss of substantial part of property,"Insolvency Act 1986, s.354(3)",1986 c. 45
6,6.4,"Bankrupt failing to deliver books, papers or records to official receiver or trustee","Insolvency Act 1986, s.355(1)",1986 c. 45
6,6.4,"Bankrupt concealing destroying etc. books, papers or records or making  false entries in them","Insolvency Act 1986, s.355(2)",1986 c. 45
6,6.4,"Bankrupt disposing of, or altering, books, papers or records relating to his estate or affairs","Insolvency Act 1986, s.355(3)",1986 c. 45
6,6.4,Bankrupt making material omission in statement relating to his affairs,"Insolvency Act 1986, s.356(1)",1986 c. 45
6,6.4,"Bankrupt making false statement, or failing to inform trustee, where false debt proved","Insolvency Act 1986, s.356(2)",1986 c. 45
6,6.4,Bankrupt fraudulently disposing of property,"Insolvency Act 1986, s.357",1986 c. 45
6,6.4,Bankrupt absconding with property he is required to deliver to official receiver or trustee,"Insolvency Act 1986, s.358",1986 c. 45
6,6.4,Fraudulent dealing with property obtained on credit,"Insolvency Act 1986, s.359",1986 c. 45
6,6.4,Bankrupt disposing of property obtained on credit and not paid for,"Insolvency Act 1986, s.359(1)",1986 c. 45
6,6.4,Bankrupt obtaining credit or engaging in business without disclosing his status or name in which he was made bankrupt,"Insolvency Act 1986, s.360(1)",1986 c. 45
6,6.4,Person made bankrupt in Scotland or Northern Ireland obtaining credit etc. in England and Wales,"Insolvency Act 1986, Sec.360(3)",1986 c. 45
6,6.4,Frauds in connection with sale of land etc,"Law of Property Act 1925, s.183",1925 c. 20
6,6.4,Providing false or misleading information for allowance claims,"Parliamentary Standads Act 2009, s.10",2009 c. 13
6,6.4,Concealing etc. criminal property,"Proceeds of Crime Act 2002, s.327",2002 c. 29
6,6.4,"Arrangements - concerned in arrangement, knows or suspects, facilitates acquisition, retention, use or control of criminal property by, or on behalf of another person","Proceeds of Crime Act 2002, s.328",2002 c. 29
6,6.4,"Acquisition, use, and possession of criminal property.","Proceeds of Crime Act 2002, s.329",2002 c. 29
6,6.4,Nominated officer; must not give consent to the doing of a prohibited act,"Proceeds of Crime Act 2002, s.336(5)",2002 c. 29
6,6.4,Dishonest representation for obtaining benefit etc.,"Social Security Administration Act 1992, s.111A",1992 c. 5
6,6.4,"Fraudulently printing, mutilating or re-issuing stamps etc.","Stamp Duties Management Act 1891, s.13 ",1891 c. 38
6,6.4,Fraudulent use of telecommunication system,"Telecommunications Act 1984, s.42(1)",1984 c. 12
6,6.4,Theft,"Theft Act 1968, s.1",1968 c. 60
6,6.4,False Accounting,"Theft Act 1968, s.17",1968 c. 60
6,6.4,Handling stolen goods,"Theft Act 1968, s.22",1968 c. 60
6,6.4,Dishonestly retaining a wrongful credit,"Theft Act 1968, s.24A",1968 c. 60
6,6.4,Subject of debt relief order fraudulently dispose of property,"Tribunals, Courts and Enforcement Act 2007, Schedule 17, Part 7A, Paragraph 251Q",2007 c. 15
6,6.4,Subject of debt relief order dispose of property not paid for by them or obtain property in respect of which money is owed.,"Tribunals, Courts and Enforcement Act 2007, Schedule 17, Part 7A, Paragraph 251R.",2007 c. 15
6,6.4,VAT Offences,"Value Added Tax Act 1994, s.72",1994 c. 23
6,6.5,Cheating the public revenue,Common Law,
6,6.5,Conspiracy to defraud,Common Law,
6,6.5,Dishonestly obtaining electronic communication services,"Communications Act 2003, s.125",2003 c. 21
6,6.5,Offence of fraudulent trading,"Companies Act 2006, s.993",2006 c. 46
6,6.5,Insider Dealing,"Criminal Justice Act 1993, s.52",1993 c. 36
6,6.5,Fraudulent evasion of duty,"Customs and Excise Management Act 1979, s.170(1)(b)",1979 c. 2
6,6.5,Fraudulently obtaining credit,"Debtors Act 1869, s.13",1969 c. 62
6,6.5,Cartel Offence,"Enterprise Act 2002, s.188",2002 c. 40
6,6.5,"Non-compliance, false, misleading or reckless statements","Enterprise Act 2002, s.201",2002 c. 40
6,6.5,Fraudulent evasion of tax,"Finance Act 2003, s.95",2003 c. 14
6,6.5,Falsification of documents,"Finance Act 2003, Schedule 13, Part 8",2003 c. 14
6,6.5,Acknowledging bail in false name,"Forgery Act 1861, s.34",1861 c. 98
6,6.5,"Destroying, injuring, forging or falsifying registers of births, baptisms, marriages, deaths or burials or certified copies","Forgery Act 1861, s.36",1861 c. 98
6,6.5,"Making false entries in copies of registers of baptisms, marriages, or burials, directed to be sent to any registrar, or destroying or concealing copies of registers","Forgery Act 1861, s.37",1861 c. 98
6,6.5,Forgery,"Forgery and Counterfeiting Act 1981, s.1",1981 c. 45
6,6.5,Copying a false instrument,"Forgery and Counterfeiting Act 1981, s.2",1981 c. 45
6,6.5,Use or copy of a false instrument,"Forgery and Counterfeiting Act 1981, s.3, s.4",1981 c. 45
6,6.5,Possess false instrument or materials to make false instrument,"Forgery and Counterfeiting Act 1981, s.5",1981 c. 45
6,6.5,Counterfeiting notes and coins,"Forgery and Counterfeiting Act 1981, s.14",1981 c. 45
6,6.5,Passing etc counterfeit notes and coins,"Forgery and Counterfeiting Act 1981, s.15",1981 c. 45
6,6.5,Custody or control of counterfeit notes and coins,"Forgery and Counterfeiting Act 1981, s.16",1981 c. 45
6,6.5,Making or custody or control of counterfeiting materials and implements,"Forgery and Counterfeiting Act 1981, s.17",1981 c. 45
6,6.5,Reproducing or making etc of British notes and coins,"Forgery and Counterfeiting Act 1981, s.18, s.19",1981 c. 45
6,6.5,Fraud by false representation,"Fraud Act 2006, s.2",2006 c. 35
6,6.5,Fraud by failing to disclose information,"Fraud Act 2006, s.3 ",2006 c. 35
6,6.5,Fraud by abuse of position ,"Fraud Act 2006, s.4",2006 c. 35
6,6.5,Possession etc of articles for use in frauds,"Fraud Act 2006,  s.6",2006 c.35
6,6.5,Making or supplying articles for use in frauds ,"Fraud Act 2006, s.7",2006 c. 35
6,6.5,Participating in fraudulent business carried on by sole trader etc,"Fraud Act 2006, s.9",2006 c. 35
6,6.5,Obtaining services dishonestly,"Fraud Act 2006, s.11",2006 c. 35
6,6.5,"Breach of requirements, lack of qualification, falsification etc.","Gun Barrel Proof Act 1868, s.30, s.122, s.141",1868 c. cxiii
6,6.5,Counterfeiting etc. of dies or marks,"Hallmarking Act 1973, s.6",1973 c. 43
6,6.5,"Fraud, etc in anticipation of winding up","Insolvency Act 1986, s.206(1)",1986 c. 45
6,6.5,"Privity to fraud in anticipation of winding up; fraud, or privity to fraud, after commencement of winding up","Insolvency Act 1986, s.206(2)",1986 c. 45
6,6.5,Transactions in fraud of creditors,"Insolvency Act 1986, s.207",1986 c. 45
6,6.5,Misconduct in course of winding up,"Insolvency Act 1986, s.208",1986 c. 45
6,6.5,Falsification of company’s books,"Insolvency Act 1986, s.209",1986 c. 45
6,6.5,Bankrupt failing to disclose property or disposals to official receiver or trustee,"Insolvency Act 1986, s.353(1)",1986 c. 45
6,6.5,"Bankrupt failing to deliver property to, or concealing property from, official receiver or trustee","Insolvency Act 1986, s.354(1)",1986 c. 45
6,6.5,Bankrupt removing property which he is required to deliver to official receiver or trustee,"Insolvency Act 1986, s.354(2)",1986 c. 45
6,6.5,Bankrupt failing to account for loss of substantial part of property,"Insolvency Act 1986, s.354(3)",1986 c. 45
6,6.5,"Bankrupt failing to deliver books, papers or records to official receiver or trustee","Insolvency Act 1986, s.355(1)",1986 c. 45
6,6.5,"Bankrupt concealing destroying etc. books, papers or records or making  false entries in them","Insolvency Act 1986, s.355(2)",1986 c. 45
6,6.5,"Bankrupt disposing of, or altering, books, papers or records relating to his estate or affairs","Insolvency Act 1986, s.355(3)",1986 c. 45
6,6.5,Bankrupt making material omission in statement relating to his affairs,"Insolvency Act 1986, s.356(1)",1986 c. 45
6,6.5,"Bankrupt making false statement, or failing to inform trustee, where false debt proved","Insolvency Act 1986, s.356(2)",1986 c. 45
6,6.5,Bankrupt fraudulently disposing of property,"Insolvency Act 1986, s.357",1986 c. 45
6,6.5,Bankrupt absconding with property he is required to deliver to official receiver or trustee,"Insolvency Act 1986, s.358",1986 c. 45
6,6.5,Fraudulent dealing with property obtained on credit,"Insolvency Act 1986, s.359",1986 c. 45
6,6.5,Bankrupt disposing of property obtained on credit and not paid for,"Insolvency Act 1986, s.359(1)",1986 c. 45
6,6.5,Bankrupt obtaining credit or engaging in business without disclosing his status or name in which he was made bankrupt,"Insolvency Act 1986, s.360(1)",1986 c. 45
6,6.5,Person made bankrupt in Scotland or Northern Ireland obtaining credit etc. in England and Wales,"Insolvency Act 1986, Sec.360(3)",1986 c. 45
