Offence,Act,Class
Contravention of Reg 5 - Small vessels complying with Code of Practice,The Merchant Shipping (Small Workboats and Pilot Boats) Regs 1998 [SI 1609/98] R 9(1),H*
Contravention of Regulations,Environmental Protection (Controls on Dangerous Substances) Regulations 2003,H*
Contravention of Regulations,The Greenhouse Gas Emissions Trading Scheme Regulations 2003,H*
Contravention of regulations in connection with immobilisation device,"Road Traffic Act 1988 as added by Road Safety Act 2006 S.22 S.160,Sch 2A p.2(1)(2)(4).
",H*
Contravention of regulations in connection with securing possession of vehicles,"Road Traffic Act 1988 as added by Road Safety Act 2006 S.22 S.160,Sch 2A p.4
",H*
Contravention of Regulations made with regard to waste reception facilities at harbours,Merchant Shipping Act 1995 Sec 130D(1) as added by The Merchant Shipping and Maritime Security Act 1997 Sec 5 ,H*
Contravention of Regulations requiring insurance or security (TEW),Merchant Shipping Act 1995 Sec 192A5(b) as added by the Merchant Shipping and Maritime Security Act 1997 Sec 16,H*
Contravention of stop notice,Town and Country Planning Act 1990 Sec 187,H*
Contravention or failure to comply with a direction to move or remove a ship made under Sec 100C,Merchant Shipping Act 1995 Sec 100D as added by The Merchant Shipping and Maritime Security Act 1997 Sec 10,H*
Contravention or order regulating access to British fisheries,Fishery Limits Act 1976,H*
Contraventions of deck cargo regulations (load lines etc.),Merchant Shipping Act 1995 Sch 3(para 24),H*
Control of mining and other operations in storage area and protective area; general provisions as to offences under part II,"Gas Act, 1965 Secs 5,21",H*
Control of works affecting scheduled monuments,"Ancient Monuments and Archaeological Areas Act 1979, Sec 2",H*
Control who has not been granted leave ,"Criminal Justice & Public Order Act 1994 , Sec. 51(1).",I
Controlling a child prostitute or a child involved in pornography - Child 13 - 17,Sexual Offences Act 2003 Sec 49,J
Controlling a child prostitute or a child involved in pornography - Child under 13,Sexual Offences Act 2003 Sec 49,J
Controlling a prostitute,Sexual Offences Act 1956 s 31,D
Controlling prostitution for gain,Sexual Offences Act 2003 Sec 53,D
Conversion of firearms ,Firearms Act 1968 Sec 4(3) as amended by Criminal Justice & Public Order Act 1994 Sec 157 Sch. 8 part III,C
Conveyance etc. of List A articles into or out of prison,Prison Act 1952 as inserted by Offender Management Act 2007,H*
Conveyance etc. of List B articles into or out of prison,Prison Act 1952 as inserted by Offender Management Act 2007,H*
Corporate Manslaughter,Corporate Homicide Act 2007 Sec 1(1),H*
Corrupt transactions with agents,Prevention of Corruption Act 1906 Sec 1,I
Corruptly giving false certificate of service of summons etc.,County Courts Act 1984 Sec 133,H*
Counterfeiting etc. of dies or marks,Hallmarking Act 1973 Sec 6(1),F/G/K
Criminal damage endangering life other,"Explosive Substance Act 1883 Sec 2,3",A
Criminal damage endangering life other,"Criminal Damage Act 1971 Sec 1(2)",B
Criminal damage to a building other than a dwelling endangering life,"Explosive Substance Act 1883 Sec 2,3",A
Criminal damage to a building other than a dwelling endangering life,"Criminal Damage Act 1971 Sec 1(2)",B
Criminal damage to a dwelling endangering life,"Explosive Substance Act 1883 Sec 2,3",A
Criminal damage to a dwelling endangering life,"Criminal Damage Act 1971 Sec 1(2)",B
Criminal damage to a vehicle endangering life,"Explosive Substance Act 1883 Sec 2,3",A
Criminal damage to a vehicle endangering life,"Criminal Damage Act 1971 Sec 1(2) ",B
Cruelty to and neglect of children,Children and Young Persons Act 1933 Sec 1,B
"Defendant gives, or reveals, protected material, or copy of it, to any other person",Sexual Offences (Protected Material) Act 1997 Sec 8(1)(b),H*
"Defendant has protected material, or copy of it, in possession otherwise than while inspecting it etc",Sexual Offences (Protected Material) Act 1997 Sec 8(1)(a) ,H*
Depositing waste (not controlled waste) in an area prescribed by the Secretary of State,Environmental Protection Act 1990 Sec. 63,H*
"Depositing, causing the deposition or permitting the deposition of controlled special waste in or on land without a licence",Environmental Protection Act 1990 Sec 33(9),H*
"Depositing, causing the deposition or permitting the deposition treating, keeping or disposing of controlled (but not special) waste in or on land without a licence",Environmental Protection Act 1990 Sec 33(8),H*
Destroying ships or fixed platforms endangering their safety,Aviation and Maritime Security Act 1990 Sec 11,H*
"Destroying, damaging etc. a Channel Tunnel train or the Tunnel system or committing acts of violence likely to endanger safety of operation ",Channel Tunnel Act 1987 Sec 1(7). Channel Tunnel (Security) Order 1994 Art 6,H*
"Destroying, damaging or endangering safety or aircraft","Aviation Security Act 1982 Sec 2, 6",B
"Destroying, forging or falsifying registers of births, marriages, deaths, burials etc",Forgery Act 1861 Sec 36,F/G/K
Detaining and threatening to kill or injure a hostage,Taking of Hostages Act 1982 Sec 1,B
Detention of a woman in a brothel,Sexual Offences Act 1956 s 24 ,H
Directory entries,Unsolicited Goods and Services Act 1971 Sec 3(2),H*
Discharge of certain oils from pipe-lines or as the result of exploration etc. in designated areas,Prevention of Oil Pollution Act 1971 Sec 3,H*
Discharge of certain oils into sea outside territorial waters,Prevention of Oil Pollution Act 1971 Sec 1,H*
Discharge of oil into United Kingdom waters,Merchant Shipping Act 1995 Sec 131 as amended by the Merchant Shipping and Maritime Security Act 1997 Sec 7,H*
Disclose any information obtained from register of vehicles held under S21 of Vehicle Excise Act,End-of-Life Vehicles Regs 2003 Reg 35,H*
Disclose debtor information without authority. ,"Attachment of Earnings Act 1971, inserted by S.92 Tribunals, Courts and Enforcement Act 2007 S.15B.",H*
Disclose details of Sec. 49 notice,Regulation of Investigatory Powers Act 2000 S.54,H*
Disclose information in connection with the Education Act 2005.,Education Act 2005 S.109 & 111.,H*
Disclose information in contravention of S.111.,Wireless Telegraph Act 2006 S.111.,H*
Disclose information relating to a trade or manufacturer's secret,Weights and Measures Act 1985 Secs 64 and 79(7),H*
Disclose without lawful authority confidential information provided by the Treasury.,Terrorism (UN Measures) Order 2006 S.6(5)&13(2).,H*
Discloses any information in contravention of subsection (2),Industrial Training Act 1982 Sec 6(6)(c ),H*
Discloses information obtained while on land as to manufacturing process or trade secrets,Town and Country Planning Act 1990 Sec 196C(5),H*
Disclosing and information held in the exercise of tax or other function by authorised person,Finance Act 1989 SS.182 & 182(A),H*
Disclosing Commission information in contravention of ss.(3),Charities Act 1993 S10A(3) & (4),H*
Disclosing information,Radioactive Substances Act 1948 Sec 7(5),H*
Disclosing information,Radioactive Substances Act 1960 Sec 13(3),H*
Disclosing information about protection arrangements,Serious Organised Crime & Police Act 2005 Sec 86,H*
Disclosing information regarding any manufacturing process or trade secret,Fair Trading Act 1973 sec. 30(3),H*
Disclosing information relating to identity of persons which is specified in or can be deducted from that disclosure,UK Borders Act 2007 S.42,H*
Disclosing information relating to persons assuming new identity,Serious Organised Crime & Police Act 2005 Sec 88,H*
Disclosing information which can be used to gain access to protected information ,The Official Secrets Act 1989 S. 8 (6),H*
Disclosing manufacturing process or trade secrets,Highways Act 1980 Sec 292(4),H*
Disclosing protected information disclosed by public authority acting as an anti fraud organisation,Serious Crime Act 2007 S.69,H*
Disclosing restricted information,Consumer Protection Act 1987 Sec 38,H*
"Disclosure by certain persons employed at detention centres or in accordance with escort arrangement, of information relating to detained persons","Immigration and Asylum Act 1999 Sec 153(1), (2)",H*
Disclosure of information,Tax Credits Act 2002 Sec. 59 & Sch 5,H*
Disclosure of information,Civil Aviation Act 1982 Sec 23 (5),H*
Disclosure of information for enforcing warrants,Access to Justice Act 1999 Sec 94,H*
Disclosure of information obtained under Iron and Steel Act,Iron and Steel Act 1982 Sec 33,H*
Disclosure of information under a levy scheme,Agriculture Act 1967 Sec 24(3),H*
Disclosure of telegrams,Post Office (Protection) Act 1884 Sec 11 (in part),H*
"Disclosure, Obstruction, False or misleading statements etc.",Financial Services & Markets Act 2000 S.346; 351; 352; 397; 398; Sch.4 p6; sch.13 p11,H*
"Disclosure, Obstruction, False or misleading statements, alters, suppresses or destroys documents",The Enterprise Act 2002 S.106; 107; 114; 170; 196(2)(3)(6); 240; Sch 25,H*
Dishonest representation for obtaining benefit etc.,Social Security Administration Act 1992 Sec 111A,H*
"Dishonestly deals in cultural object that is tainted, knowing or believing that the object is tainted",Dealing in Cultural Objects (Offences) Act 2003 Sec 1,H*
Dishonestly obtaining electronic communication services,Communications Act 2003 Sec 125,H*
Dishonestly retaining a wrongful credit,Theft Act 1968 Sec 24A (as added by Theft (Amendment) Act 1996 Sec 2,H*
"Disobedience, neglect of duty, impeding navigation of ship",Merchant Shipping Act 1995 Sec 59,H*
Disqualified person knowingly applies etc. for work in a regulated position,Criminal Justice and Court Services Act 2000 Sec 33(1),H*
Disqualified person managing company,Company Directors Disqualification Act 1986 Sec 8&13,H*
Distribute/circulate a terrorist publication.,Terrorism Act 2006 Sec 2(2)(a) & 11.,H*
"Distributing, showing or playing a recording (Acts intended to stir up religious hatred).",Public Order Act 1986 Sec 29E as added by Racial and Religious Hatred Act 2006,H*
Do any in purported exercise of right of audience / conduct litigation re: any proceedings when not entitled,Courts and Legal Services Act 1990,H*
"Doctors or pharmacists providing false information about the prescriptions, supply etc. of drugs ",Misuse of Drugs Act 1971 Sec 17(4),H*
Document evidencing the appointment of a person as a certifying officer or public service vehicle examiner,Public Passenger Vehicles Act 1981 Sec 65 (1)(f) & (2),H
Drivers injuring persons by furious driving,Offences against the Person Act 1861 Sec35,H
Drunkenness etc. on duty,Merchant Shipping Act 1995 Sec 117,H*
Drunkenness in aircraft (includes drugs),Air Navigation Order 2009 AA.139 & 241 (7) & Sch.13 Pt.C,H*
Duty to aid constables,Common Law,H*
Eliciting publishing or communicating information about members of armed forces etc,Terrorism Act 2000 S58A(1)(a) & (b),B
Embracery,Common Law,I
Employee of institution discloses types of information specified in Sec 42(3),"Crime (International co-operation) Act 2003 Sec 42(1-3,5)",H*
"Employing a person knowing that they are an adult subject to immigration control who has not been granted leave to enter or remain, or whose leave to remain is invalid etc.","Immigration, Asylum and Nationality Act 2006 Sec 21",H*
Employing a person subject to immigration control who has attained the age of 16 (was 194/35),Asylum & immigration Act 1999 Sec 8 as amended by Asylum & Immigration (Treatment of Claimants) Act 2004 Sec 6,H*
Encouraging or assisting in the commission of an either way offence beleiving it will be committed,Serious Crime Act 2007 S.45(pt),H*
Encouraging or assisting in the commission of an indictable offence beleiving it will be committed [NOT MURDER] ,Serious Crime Act 2007 S.45(pt),H*
Encouraging or assisting in the commission of MURDER beleiving it will be committed,Serious Crime Act 2007 S.45(pt),H*
"Encouraging or assisting in the commission of one or more either way, or indictable offences (other than murder) beleiving it/they will be committed",Serious Crime Act 2007 S.46(pt),H*
Encouraging or assisting in the commission of one or more offences of MURDER beleiving one or more will be committed ,Serious Crime Act 2007 S.46(pt),H*
"Endangering railway passengers by placing anything on railway, taking up rails, changing points and signals etc. ",Offences against the Person Act 1861 Sec 32,B
Endangering railway passengers by throwing anything at railway carriages etc. ,Offences against the Person Act 1861 Sec 33,B
"Endangering railway passengers by unlawful acts, or by omission or neglect ",Offences against the Person Act 1861 Sec 34,B
Endangering Safety at Sea,Aviation and Maritime Security Act 1990 Sec 1,H*
Endangering safety of aircraft,Air Navigation Order 2009 AA. 137 & 241(8) & Sch.13 Pt.D,H*
Endangering safety of any person or property,Air Navigation Order 2009 AA.138 & 241(7) & Sch.13 Pt.C,H*
"Endangering ship, life or limb on shipboard by breach of duty",Pilotage Act 1987 Sec 21,H*
Enforcement provisions relating to newspaper mergers,Fair Trading Act 1973 Sec 62,H*
"Engage in commercial practice set out in any of para's 1 to 10, 12 to 27 and 29 to 31 of Sch 1",Consumer Protection from Unfair Trading Regulations 2008 RR 12 & 13,H*
Engage in commercial practice which is a misleading action under reg 5,Consumer Protection from Unfair Trading Regulations 2008 RR.9 & 13,H*
Engage in commercial practice which is a misleading omission under reg 6,Consumer Protection from Unfair Trading Regulations 2008 RR.10 & 13,H*
Engage in commercial practice which is aggressive under reg 7,Consumer Protection from Unfair Trading Regulations 2008 RR.11 & 13,H*
Engaging in activities requiring a licence,Consumer Credit Act 1974 Sec 39,H*
Engaging in advertising which is misleading under R.3,Business Protection from Misleading marketing regulations 2008 RR.6 & 7,H*
Engaging in exploitative conduct to induce or encourage a person to provide sex services for another after payment promised,Sexual Offences Act 2003 Sec 53A,H*
Engaging in sexual activity in the presence of a child under 13,Sexual Offences Act 2003 Sec 11,D
Engaging in sexual activity in the presence of a child under 13 - Offender under 18,Sexual Offences Act 2003 Sec 13,D
Engaging in sexual activity in the presence of a child under 16,Sexual Offences Act 2003 Sec 11,D
Engaging in sexual activity in the presence of a child under 16 - Offender under 16,Sexual Offences Act 2003 Sec 11,D
Engaging in sexual activity in the presence of a person with a mental disorder impeding choice,Sexual Offences Act 2003 Sec 32,D
"Engaging in sexual activity in the presence, procured by inducement, threat or deception of a person with mental disorder",Sexual Offences Act 2003 Sec 36,D
Establish/install/use a wireless telegraphy station/apparatus without a S.8 licence.,Wireless Telegraphy Act 2006 S.8 & 35(1)(2).,H*
"Excise, infibulate, aid, abet, counsel","Female Genital Mutilation Act 2003 Sec 1(1),2,3,5",H*
"Exclusive privilege of the Post Office to convey etc., letters",British Telecommunications Act 1981 Sec 66,H*
Exploration and exploitation of minerals under the sea,"Continental Shelf Act, 1964",H*
Exposing child to risk of burning,Children and Young Persons Act 1933 Sec 11,H*
Exposure,Sexual Offences Act 2003 Sec 66,D
Facilitate unauthorised broadcasting.,Wireless Telegraphy Act 2006 S.38(2)(6).,H*
Facilitating broadcasting from ships or aircraft.,Wireless Telegraph Act 2006 S.82 & 93(1).,H*
Facilitating broadcasting from structures or objects.,Wireless Telegraph Act 2006 S.83 & 93(1).,H*
Fail to comply with a condition attached to an Article 7 or 9 exemption licence ,Al-Qaida and Taliban (UN Measures) Order 2006 S.11.,H*
Fail to comply with a notice or fail to furnish information or furnish false information,Control of Pollution Act 1974 Sec 93 as amended by Environment Act 1995 Sch 19 para 1(3),H*
Fail to comply with a S.201 or S.202 requirement to disclose information. ,National Health Service Act 2006 S.205.,H*
Fail to comply with any regulation made under s111 ,Criminal Justice and Immigration Act 2008,H*
Fail to comply with articles listed in the Schedule relating to shark fins.,"Sea Fishing (Prohibition on Removal of Shark Fins) Order 2007 S.4,5",H*
Fail to comply with condition of licence under Article 6 or 7,Trade in Goods (Control) Order 2003 SI 2765/2003 A.11,H*
Fail to comply with notification requirements of s108(1),Criminal Justice and Immigration Act 2008,H*
Fail to comply with prohibition / restriction / condition contained in a violent offender order / interim order,Criminal Justice and Immigration Act 2008,H*
Fail to comply with provisions of S386 re keeping of accounting records,Companies Act 2006 Sec 387,H*
Fail to comply with requirements of S388 re place of keeping of accounting records and accuracy ,Companies Act 2006 Sec 389,H*
Fail to comply with requirements re approval and signing of abbreviated accounts ,Companies Act 2006 Sec 450,H*
Fail to comply with requirements re notification of changes under s109(1) ,Criminal Justice and Immigration Act 2008,H*
Fail to comply with S414 requirements re approval and signing of accounts,Companies Act 2006 Sec 414,H*
Fail to comply with section 18A enforcement notice,Aviation Security Act 1982 S.18C(1).,H*
Fail to comply with the requirements of periodic notifications under s110(1),Criminal Justice and Immigration Act 2008,H*
"Fail to comply with/prevent other person complying with a requirement imposed by a British sea-fishery officer, or assault/obstruct a British sea-fishery officer exercising powers under this order.",Sea Fishing (Prohibition on Removal of Shark Fins) Order 2007 S.12.,H*
Fail to deliver records re debt relief order ,"Insolvency Act 1986 as inserted by Sch.1 Tribunals, Courts and Enforcement Act 2007 S.251P",H*
Fail to disclose key to protected information,Regulation of Investigatory Powers Act 2000 S.53,H*
Fail to give effect to an interception warrant,Regulation of Investigatory Powers Act 2000 S.11(4)(7),H*
Fail to permit the taking of fingerprints and / or photographs as required by s112(4),Criminal Justice and Immigration Act 2008,H*
Failing to assist ships in distress or persons in danger at sea,"Merchant Shipping Act 1995 Sec 93(1,2,4-7)",H*
Failing to comply with an order issued under Sec 26,Environmental Protection Act 1990 Sec 23(1)(l),H*
Failing to comply with any requirement to provide relevant information,Environmental Protection Act 1990 Sec 118(1)(k),H*
Failing to comply with any requirements of the direction given by the person to whom the direction is duly given under Sec 137 (shipping casualties),Merchant Shipping Act 1995 Sec 137,H*
Failing to comply with or contravening any enforcement or prohibition notice,Environmental Protection Act 1990 Sec 23 (1)(c),H*
Failing to comply with requirements; assaulting any officer exercising powers under Sec 2 or 3,British Fishing Boats Act 1983 Sec 4,H*
"Failing to identify risks of importing or acquiring genetically modified organisms, importing or acquiring modified organisms despite the risks, not taking all reasonable steps to prevent risk of damage to the environment as a result of keeping modified organisms. Releasing or marketing modified organisms without regard to the risks of damage to the environment",Environmental Protection Act 1990 Sec 118(1)(d),H*
Failing to keep a record of a risk assessment or failing to give the Secretary of State further information,Environmental Protection Act 1990 Sec 118(1)(e),H*
Failing to keep accounting records open to inspection,Companies Act 1985 Sec 222 (4),H*
Failing to provide information or making false statement relating to ship or harbour area,Aviation and Maritime Security Act 1990 Sec 19,H*
Failing to secure preservation of accounting records,Companies Act 1985 Sec 222 (6),H*
Failing without reasonable excuse to provide any information required by a waste regulation authority or the Secretary of State,Environmental Protection Act 1990 Sec 71 as amended by Environment Act 1995 Sch 19 para 4(2),H*
Failing without reasonable excuse to provide any information required by an authority in a notice under Sec 19(2),Environmental Protection Act 1990 Sec 23(1)(g),H*
Fails to comply with requirement of a detention direction etc,"Aviation Security Act S.20B(7)(8) as added by Anti-terrorism, Crime and Security Act 2001 S.86",H*
"Failure by certificate holder to notify in writing Chief Officer of Police of deactivation, destruction or loss of firearms or ammunition (Group I)",Firearms (Amendment) Act 1997 Sec 34 & 36(a)(i)(ii),H*
"Failure by certificate holder to notify in writing Chief Officer of Police of events taking place outside Great Britain involving firearms and ammunition (sold or otherwise disposed of, lost etc). (Group I)",Firearms (Amendment) Act 1997 Sec 35 & 36(a)(i)(ii),H*
Failure of owner of ship to take all reasonable steps to secure that the ship is operated in a safe manner,Merchant Shipping Act 1995 Sec 100,H*
Failure to assist a railway Investigation Branch Inspector when required to do so,railways (Accident Investigation and Reporting Regulations 2006) RR.6(7) & 16(2),H*
Failure to comply with a direction given by Chief Inspector of Rail Accounts,Railways and Transport Safety Act 2003 Sec 10,H*
Failure to comply with a direction under S.24 - storage of carbon dioxide,Energy Act 2008 S.25,H*
Failure to Comply with a requirement imposed under Sch.7,Counter-Terrorism Act 2008 Sch.7 para.30,H*
Failure to comply with a requirement to take specified action as the Secretary of State required,Asylum & Immigration (Treatment of Claimants) Act 2004 Sec 35(1)(3)&(4),H*
Failure to comply with a Serious Crime Prevention Order ,Serious Crime Act 2007 S.25,H*
Failure to comply with conditions of Listed Building consent,Planning (Listed Buildings and Conservation Areas) Act 1990 Sec 9,H*
Failure to comply with control of maximum prices for medical supplies other than health service medicines. ,National Health Service Act 2006 S.260 & Sch22.,H*
Failure to comply with direction under S.10 - importation and storage of combustible gas,Energy Act 2008 S.11(1) & (2),H*
Failure to comply with directive under Sch 3A etc,Merchant Shipping Act 1996 Sch 3A as added by Maritime Safety Act 2003 Sch 1,H*
Failure to comply with duty in connection with (application for) debt relief order ,"Insolvency Act 1986 as inserted by Sch.1 Tribunals, Courts and Enforcement Act 2007 S.251O (2a) (4a)(",H*
Failure to comply with enforcement of Sch.3 Pt.1 (passports),Cattle Identification Regulations 2007 RR.6 & 15 & Sch.3(pt.1),H*
Failure to comply with enforcement of Sch.3 Pt.2 (movement using passports),Cattle Identification Regulations 2007 RR.6 & 15 & Sch.3(pt.2),H*
Failure to comply with enforcement of Sch.4 (notification of movement of death),Cattle Identification Regulations 2007 RR.7 & 15 & Sch 4,H*
failure to comply with enforcement of Sch.5 (records),Cattle Identification Regulations 2007 RR.8 & 15 & Sch.5,H*
Failure to comply with enforcement of Schedule 1 (ear tags),Cattle Identification Regulations 2007 RR.4 & 15 & Sch.1,H*
Failure to comply with enforcement of Schedule 2 (registration of cattle),cattle Identification Regulations 2007 RR.5 & 15 & Sch.2,H*
Failure to comply with licence conditions,Export of Objects of Cultural Interest (Control),H*
Failure to comply with Listed Building enforcement notice.,Planning (Listed Buildings and Conservation Areas) Act 1990 Sec 43,H*
"Failure to comply with notice requiring information relating to prescribing, supply etc. of drugs",Misuse of Drugs Act 1971 Sec 17(3),H*
"Failure to comply with notice, misleading or intentionally making false entry in record or intent to deceive re environmental permit","Environmental Permitting (England and Wales) Regulations 2007 RR.38(1)(d)(e), (f) or (g) & 39(3)",H*
Failure to comply with Notification Order,Sexual Offences Act 2003 Sec 91(1a)(2),H*
Failure to comply with prescribed standards in respect of ship in respect of which trans-shipment licence is in force,Merchant Shipping Act 1995 Sec 100G as added by The Merchant Shipping and Maritime Security Act 1997 Sec 11,H*
Failure to comply with prohibition imposed by order; engages in an activity knowing or intending that it will enable or facilitate the commission by another person of an offence under para 2 sch 3,"Anti-terrorism, Crime & Security Act 2001 Sch 3 paras 2, 3, 7 ",H*
Failure to comply with Regulations,The Special Waste Regulations 1996,H*
"Failure to comply with regulations made by the Secretary of State as regards documentation, record keeping, labelling etc",Criminal Justice (International Co-operation) Act 1990 Sec 13 ,H*
Failure to discharge a duty imposed (on employees) by S7.,Health and Safety at Work Act 1974 as amended by Health and safety (Offences) Act 2008,H*
"Failure to discharge a duty imposed (on employers and others) by virture of S2,3,4 or 6",Health and Safety at Work Act 1974 as amended by Health and safety (Offences) Act 2008,H*
Failure to discharge the duty not to charge employees for things done to meet requirements of relevant statutory provisions imposed by S9.,Health and Safety at Work Act 1974 as amended by Health and safety (Offences) Act 2008,H*
"Failure to discharge the duty not to interfere with or misuse things provided for health and safety, imposed by S8.",Health and Safety at Work Act 1974 as amended by Health and safety (Offences) Act 2008,H*
Failure to disclose information about acts of terrorism,"Terrorism Act 2000 Sec 38BA as added by Anti-terrorism, Crime and Security Act 2001 Sec 117 ",H*
Failure to disclose information which is known or ought to be known to be relevant to an application for licence or consent of S of S etc - importation and storage of combustible gas,Energy Act 2008 S.9(4) & (5),H*
Failure to disclose information which is known or ought to be known to be relevant to an application for license or consent of licensing authority - storage of carbon dioxide,Energy Act 2008 S.23(6) & (7),H*
Failure to disclose knowledge gained in the course of business,"Terrorism Act 2000 Sec 21A as added by Anti-terrorism, Crime and Security Act 2001 Sc2 ",H*
Failure to disclose knowledge or suspicion of offences,N Ireland (Emergency Provisions) Act 1991 Sec 54A ,H*
Failure to disclose; another person involved in money laundering - nominated officer in the regulated field,Proceeds of Crime Act 2002 Sec 331,B
Failure to disclose; another person involved in money laundering - other nominated officer in the regulated field,Proceeds of Crime Act 2002 Sec 332,B
Failure to disclose; another person involved in money laundering - regulated sector,Proceeds of Crime Act 2002 Sec 330,B
Failure to give assistance/information to technical assessors,Water Industry Act 1991 Sec 86(6) - penalty increased by Water Act 2003 Sec 57,H*
Failure to give notice in writing to the Chief Officer of Police of transfers involving firearms (Group I),Firearms (Amendment) Act 1997 Sec 33 & 36(a)(i)(ii),H*
Failure to hand over a Euro note or coin believing it to be counterfeit,Protection of the Euro against Counterfeiting Regulations 2001,H*
Failure to have a fire certificate,"Fire Precautions Act 1971 Sec 7(1), 7(2)",H*
Failure to keep proper accounting records,Companies Act 1985 Sec 221(5) ,H*
Failure to notify fire authority of any structural alterations of premises or storage of flammable material or explosives,Fire Precautions Act 1971 Sec 8(2),H*
Failure to possess a licence or to obey conditions of licence,Activity Centres (Young Persons) Act 1995 Sec 2(1)(a) (against regulations made under the above Section),H*
Failure to register nursing home or mental nursing home,Registered Homes Act 1984 Sec 23(1),H*
Failure to return after a suspension Ð Travel Restriction Order,Criminal Justice & Police Act 2001 S.36(2),H*
Failure to take such measures as available to secure transfer of household waste to unauthorised person or persons authorised for transport purposes,Environmental Protection Act 1990 Sec 34(2A) & (6),H*
Failure to transfer firearms or ammunition in person (Group I),Firearms (Amendment) Act 1997 Sec 32 & 36(a)(i)(ii),H*
Failure to withdraw from circulation a Euro note or coin which is believed to be counterfeit,Protection of the Euro against Counterfeiting Regulations 2001Reg 2 (SI 3948/2001),H*
"Failure, without reasonable excuse, to report to a specified person when first returning to the UK as required by the terms of a control order, when the order has ceased to have effect.",Prevention of Terrorism Act 2005 Sec 9 (2)(4),H*
False Accounting,Theft Act 1968 Sec 17 Protection of Depositors Act 1963 Sec 15,H*
False declarations etc. to obtain registration,Perjury Act 1911 Sec 6,I
False documents and false statements,Emergency Laws (Re-enactments and Repeals) Act 1964,H*
False entry or statement in document,Mental Health Act 1983 Sec 126(4),H*
False imprisonment,Common Law,B
False information re disused tips,Mines & Quarries(Tips) Act 1969 Sec 12,H*
False or misleading statements re interim possession orders,Crim Justice & Public Order Act 1994 Sec75 ,I
False representations as to the National Lottery,National Lottery etc. Act 1993(a) Sec. 16,H*
False representations or fraud for purpose of obtaining creditors' consent to a agreement in connection with winding up ,Insolvency Act 1986 Sec211,H*
False returns,Corn Returns Act 1882 S.12,H*
False statements by company directors etc.,Theft Act 1968 Sec 19,H*
False statements etc with reference to civil partnership,Civil Partnership Act 2004,H*
False statements etc. - births or deaths,Perjury Act 1911 Sec 4,I
False statements etc. - marriage,Perjury Act 1911 Sec 3,I
False statements etc. to obtain passport,Criminal Justice Act 1925 Sec 36,H*
False statements on oath not in judicial proceeding,Perjury Act 1911 Sec 2,I
"False statements, false entries in records and forgery","Health and Safety at Work etc. Act 1974 Secs 33(1)(k), 33(1)(1), 33(1)(m) and 33(3)",H*
False statutory statements etc. without oath,Perjury Act 1911 Sec 5,I
False unsworn statements,Perjury Act 1911 Sec 1A,I
False written statements tendered in evidence,"Magistrates' Court Act 1980 Sec 106, Criminal Justice Act 1967 Sec 89",I
False/misleading statement,Building Act 1984 Sec 57,H*
Falsely describing or presenting food,Food Safety Act 1990 Sec 15,H*
"Falsely pretending , with intent to deceive, to be a wildlife inspector.","Wildlife & Countryside Act 1981S.XB(4) as added by Natural Environment & Rural Communities Act 2006 Sch 5 P.1.
",H*
Falsification by the registrar,Pharmacy Act 1954 Sec 18,H*
Falsification etc. of company's books,Insolvency Act 1986 Sec 209,H*
Falsification of documents,Finance Act 2003 Sch 13,H*
Falsification of registration returns and records of a levy scheme,Agriculture Act 1967 Sec 14(3),H*
"Falsifies, conceals, destroys, or otherwise disposes of etc. documents he knows or suspects are relevant to investigation by Serious Fraud Office or OFT into offence S. 183",The Enterprise Act 2002 Sec. 196(4)(5),H*
Falsifying certificate etc. with view to acquisition of firearm (Group I),Firearms Act 1968 Sec 3(5) as amended by Criminal Justice & Public Order Act 1994 Sec 157 Sch. 8 part III,C
Falsifying certificate etc. with view to acquisition of firearm (Group II),Firearms Act 1968 Sec 3(5) as amended by Criminal Justice & Public Order Act 1994 Sec 157 Sch. 8 part III,C
Fear or provocation of violence,Public Order Act 1986 Sec 4,H*
Financial institution fails to comply with the requirement imposed under customer information order,Proceeds of Crime Act 2002 Sec. 366(3)(4),H*
Financial institution: discloses types of information specified in Sec 42(3) to customers,Crime (International co-operation) Act 2003 Sec 42(1-4),H*
Financial institution: makes a statement which he knows to be false or misleading in purported compliance with a customer information order,"Crime (International co-operation) Act 2003 Sec 34(1-3,5)",H*
"Fishing with, or possessing for fishing prohibited instruments",Salmon and Freshwater Fisheries Act 1975 Sec 1,H*
"Forge/alter/use/lend/make document/authority to drive/card/licence/certificate with intent to deceive.",Vehicle drivers (certificates of professional competence) Regulations 2007 S.13(1)&(4).,H*
Forgery etc. of mental health document,Mental Health Act 1983 Sec 126(2),H*
Forgery of a drug prescription or copying a false drug prescription,"Forgery & Counterfeiting Act 1981 Secs 1,2",F/G/K
Forgery of copy of Registrars record,Forgery Act 1861 Sec 37,F/G/K
Forgery or copying false instrument (other than drug prescription) ,"Forgery & Counterfeiting Act 1981 Secs 1,2",F/G/K
Forgery or copying false instrument (other than drug prescription) ,"Forgery & Counterfeiting Act 1981 Secs 1,2.",F/G/K
"Forging, using, making or processing a document purporting to have been issued under Sec 111",Environmental Protection Act 1990 Sec 118(1)(n),H*
